Particle_ID	category	AED	min_circle	max_dia	AR	x	y	P	height	T	RH	border
20240320_090651_17_1	compact	41.75639489051186	188.1	197.2077901605309	1.036144578313253	343.0	372.0	186.2	11872	-54.6	2	0.0
20240320_090651_17_2	compact	28.963209557144015	122.1	131.96905887366174	1.0925925925925926	249.0	310.0	186.2	11872	-54.6	2	0.0
20240320_090651_17_3	plates	31.814890238347708	108.9	157.6160286899781	1.6734693877551021	568.0	55.0	186.2	11872	-54.6	2	0.0
20240320_090652_17_1	compact	58.640118547434305	293.7	290.7045278285152	1.075	613.0	454.0	186.0	11879	-54.4	2	0.0
20240320_090655_17_1	rosettes	69.56354610078404	435.6	416.0094710460328	1.119047619047619	836.0	375.0	185.4	11898	-54.2	2	0.0
20240320_090655_17_2	rosettes	81.11237307407379	660.0	552.690892362087	1.6193181818181819	507.0	288.0	185.4	11898	-54.2	2	0.0
20240320_090657_17_1	compact	33.46110391715877	155.1	148.72899011288953	1.1896551724137931	859.0	263.0	185.0	11912	-54.1	2	0.0
20240320_090707_17_1	compact	24.769978904226825	145.2	133.323675691904	1.3541666666666667	232.0	523.0	182.8	11989	-53.8	2	0.0
20240320_090707_17_3	compact	30.93097034219018	158.39999999999998	149.20416381589357	1.2678571428571428	793.0	489.0	182.8	11989	-53.8	2	0.0
20240320_090708_17_1	compact	28.722846815886346	108.9	120.45	1.1458333333333333	464.0	509.0	182.6	11997	-53.8	2	0.0
20240320_090708_17_2	irregular	29.320059273717153	158.39999999999998	150.23157124918848	1.2456140350877194	114.0	485.0	182.6	11997	-53.8	2	0.0
20240320_090708_17_5	rosettes	16.337453561118206	89.1	91.1242283917949	1.6206896551724137	316.0	8.0	182.6	11997	-53.8	2	1.0
20240320_090712_18_1	compact	27.299722562993534	75.89999999999999	112.22426208267088	1.1333333333333333	963.0	524.0	181.7	12028	-53.7	2	0.0
20240320_090712_18_2	compact	25.66349519264438	135.29999999999998	126.06043193643278	1.326086956521739	189.0	200.0	181.7	12028	-53.7	2	0.0
20240320_090712_18_3	compact	24.488492731764364	108.9	116.69595108657369	1.0408163265306123	264.0	119.0	181.7	12028	-53.7	2	0.0
20240320_090712_18_4	compact	27.55250316502267	135.29999999999998	134.0973993036405	1.4565217391304348	244.0	21.0	181.7	12028	-53.7	2	1.0
20240320_090713_18_1	compact	26.461513967068832	102.3	112.102899159656	1.0869565217391304	281.0	546.0	181.5	12035	-53.7	2	0.0
20240320_090713_18_2	compact	26.851631037846246	141.9	130.8815112993428	1.5	729.0	26.0	181.5	12035	-53.7	2	0.0
20240320_090717_18_1	rosettes	26.461513967068832	125.4	126.20073296142142	1.1176470588235294	275.0	486.0	180.6	12066	-53.4	2	0.0
20240320_090722_18_1	rosettes	25.59587058184073	92.4	125.85509524846422	1.4651162790697674	196.0	482.0	179.5	12105	-53.1	2	0.0
20240320_090722_18_2	compact	29.847335354419165	135.29999999999998	133.3338854155237	1.150943396226415	161.0	316.0	179.5	12105	-53.1	2	0.0
20240320_090722_18_3	compact	26.787006080039745	112.2	122.55624219108546	1.0588235294117647	480.0	234.0	179.5	12105	-53.1	2	0.0
20240320_090729_18_1	compact	18.618256257075956	92.4	92.3557929964331	1.135135135135135	176.0	331.0	178.1	12155	-52.8	2	0.0
20240320_090729_18_2	compact	24.132018211723793	108.9	106.48573848173284	1.1666666666666667	132.0	237.0	178.1	12155	-52.8	2	0.0
20240320_090729_18_3	compact	24.132018211723793	112.2	125.10656457596458	1.14	616.0	115.0	178.1	12155	-52.8	2	0.0
20240320_090733_18_1	compact	23.25419461182156	89.1	103.09529572196784	1.2	902.0	187.0	177.4	12181	-52.7	2	0.0
20240320_090752_18_1	compact	34.431191874595136	181.5	176.48830697811115	1.1267605633802817	673.0	78.0	174.1	12303	-52.0	2	0.0
20240320_090801_19_12	columns	90.40884143465622	303.6	278.30760859164445	2.8106060606060606	90.0	849.0	172.5	12364	-52.2	2	1.0
20240320_090801_19_13	columns	20.981709222290924	148.5	128.7	2.4	22.0	699.0	172.5	12364	-52.2	2	1.0
20240320_090801_19_14	compact	19.61555014064363	69.3	84.00428560496184	1.0	9.0	611.0	172.5	12364	-52.2	2	1.0
20240320_090801_19_15	plates	25.59587058184073	26.4	30.424496709066524	1.5	4.0	593.0	172.5	12364	-52.2	2	1.0
20240320_090801_19_2	plates	9.309128128537978	19.8	9.621070626494744	2.4	72.0	957.0	172.5	12364	-52.2	2	0.0
20240320_090801_19_3	plates	8.732736256862024	36.3	35.0017856687341	3.0	106.0	957.0	172.5	12364	-52.2	2	1.0
20240320_090805_19_2	compact	26.916100833017577	122.1	113.8978160457873	1.255813953488372	498.0	385.0	171.8	12388	-52.3	2	0.0
20240320_090813_19_1	rosettes	143.83130164922918	495.0	694.7048671918169	1.6837209302325582	344.0	526.0	170.3	12447	-52.5	2	0.0
20240320_090816_19_1	plates	111.83359037084368	518.1	575.2468904739945	1.4820512820512821	73.0	284.0	169.7	12469	-52.5	2	1.0
20240320_090822_19_1	compact	19.70371036075809	79.19999999999999	83.50043413060796	1.425	11.0	929.0	168.6	12510	-52.3	1	1.0
20240320_090822_19_2	compact	22.18621287639894	89.1	96.90150927617177	1.075	104.0	810.0	168.6	12510	-52.3	1	0.0
20240320_090822_19_3	compact	15.46548517109509	39.6	68.62889333218189	1.9473684210526316	213.0	527.0	168.6	12510	-52.3	1	0.0
